thread_id,inbound_text,true_intent,agent_intent,true_action,agent_action,agent_draft_reply,llm_judge_groundedness,llm_judge_routing,llm_judge_justification,human_score
amz_thread_0017,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Other,Delivery Tracking,ESCALATE,AUTO_HANDLE,@Customer Thank you for the update. Please share your contact details via https://t.co/placeholder so we can review the return and coordinate with UPS. We'll monitor the pickup and let you know once it's processed. ^EZ,2,1,Auto‑handled an 'Other' issue (should be escalated) and included a placeholder dead link.,
amz_thread_0098,"To the person or persons that stole that big, heavy Amazon box of my porch today: enjoy 200 13 gallon garbage bags!",Delivery Tracking,Delivery Tracking,ESCALATE,AUTO_HANDLE,"Oh no! I'm so sorry to hear this happened. Have you had a chance to report this to us yet? If so, what options did our team provide? We'd like to make sure this is addressed.",5,5,Generic reply without hallucinated details and correctly auto‑handles a delivery‑tracking issue.,
amz_thread_0042,@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,Other,Other,AUTO_HANDLE,ESCALATE,@AmazonHelp Sorry for the inconvenience. Could you please share the order number or a link to the Deluxe edition you’re referring to? This will help us investigate the pre‑order details and Prime benefits you expected.,5,5,No fabricated details; escalation is proper for this non‑delivery intent.,
amz_thread_0150,@115850 pls investigate ur satara (Maharashtra) amzn staff or ur reputation is doomed in the region in long term.,Other,Other,ESCALATE,ESCALATE,"@117000 I'm sorry to hear about your concerns. Could you please share more details about the issue, without including personal account information, so we can look into this further? ^AB",5,5,"The reply is generic and does not invent specifics, and escalation is suitable for an 'Other' concern.",
amz_thread_0281,@AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future.,Order Cancellation,Order Cancellation,AUTO_HANDLE,AUTO_HANDLE,@[customer] I'm sorry to hear about the delivery experience. I'd be happy to help cancel your order. Could you please provide your order number or reach out through our help link so we can process the cancellation promptly? ^TN,5,5,Appropriate auto‑handle for cancellation and request for order number only.,
amz_thread_0283,"@AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available !",Delivery Tracking,Delivery Tracking,AUTO_HANDLE,AUTO_HANDLE,@123456 We’re sorry for the mix‑up with your delivery window. We’ll investigate the status and update you shortly. Could you please share the latest tracking information for your order? ^SG,5,5,Generic reply with no hallucinations and proper auto‑handling of a Delivery Tracking concern.,
amz_thread_0035,@AmazonHelp where can I chat with a support member for a false charge,Refund Inquiry,Refund Inquiry,ESCALATE,ESCALATE,@123456 Sorry to hear about the unexpected charge. Please send us your order information through this secure form: https://example.com/contact and we’ll look into it right away.,5,5,Generic reply and correct ESCALATE action.,
amz_thread_0157,Haha @117634 has been sneakily charging me $9.99 SINCE FEBRUARY for a service I never use💩🙈👎 $90 gone!!! Thanks @AmazonHelp,Refund Inquiry,Refund Inquiry,ESCALATE,ESCALATE,"@117634 I'm sorry to hear about these unexpected charges. We don’t have access to your account details here, so please reach out to us through this link so we can investigate and discuss a resolution: https://t.co/hApLpMlfHN ^EZ",5,5,Generic reply and proper ESCALATE for refund inquiry.,
amz_thread_0065,@AmazonHelp and redund issued on 13th https://t.co/1uydlorGCp no sing of my money and amazonuk just saying its in the billing department.no signof devlp,Refund Inquiry,Refund Inquiry,ESCALATE,ESCALATE,I’m sorry you’re still waiting on your refund. Could you let us know if you’ve had a chance to check with your bank to see if the funds are pending on their side? Any reference or transaction details you can share (without posting personal info) will help us investigate further and get this resolved for you.,5,5,"The reply is generic and asks for bank details without fabricating information, and escalation is correct for a refund inquiry.",
amz_thread_0260,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",Delivery Tracking,Other,ESCALATE,ESCALATE,"@118505 We're sorry for the inconvenience and understand your frustration. Please check the email we sent you and reply directly to that message so we can investigate further. Once we receive your response, our team will review your case and get back to you as soon as possible.",5,1,"The answer is grounded, yet escalation is inappropriate for a delivery‑tracking intent which should be auto‑handled.",
